,index,node,importance,Unnamed: 0,symbol,weight,Type,In CGC
9,9,LCK,0.009552886880692453,57350.0,LCK,2.0,coding,Yes
17,17,EP300,0.008214943146390562,87966.0,EP300,14.0,coding,Yes
28,28,ESR1,0.005356837782011465,75970.0,ESR1,7.0,coding,Yes
32,32,AR,0.004728868012995986,84080.0,AR,7.0,coding,Yes
33,33,FOXA1,0.004508807598946218,87810.0,FOXA1,25.0,coding,Yes
40,40,LYN,0.003000745192318884,77085.0,LYN,6.0,coding,No
41,41,CREBBP,0.0029551156019195584,87048.0,CREBBP,15.0,coding,Yes
42,42,ZAP70,0.0028712523010809296,59990.0,ZAP70,3.0,coding,No
44,44,LCP2,0.0028123214306283086,83373.0,LCP2,3.0,coding,No
45,45,SP1,0.0028001352646655903,86891.0,SP1,6.0,coding,No
46,46,ERG,0.002773419675999646,75961.0,ERG,3.0,coding,Yes
47,47,E2F1,0.0027485990393084792,61168.0,E2F1,5.0,coding,No
49,49,GATA3,0.0025274923468072362,90480.0,GATA3,104.0,coding,Yes
54,54,PTPRC,0.0024250462860969176,78219.0,PTPRC,8.0,coding,Yes
58,58,FN1,0.0021908401715230214,90193.0,FN1,13.0,coding,No
64,64,COL1A1,0.0021092159550161055,75402.0,COL1A1,8.0,coding,Yes
67,67,VAV1,0.0019343014713020781,67152.0,VAV1,7.0,coding,Yes
71,71,JUN,0.0018758973534007785,90003.0,JUN,3.0,coding,Yes
72,72,SYK,0.0018714927903707706,79005.0,SYK,5.0,coding,Yes
73,73,RUNX1,0.0018637253151907636,88741.0,RUNX1,34.0,coding,Yes
76,76,STAT1,0.0017832031620030572,54437.0,STAT1,4.0,coding,No
77,77,ETS1,0.0017756677481590715,81965.0,ETS1,4.0,coding,No
79,79,EGR1,0.0016790728380710364,85351.0,EGR1,3.0,coding,No
80,80,RB1,0.0016371231785018323,80436.0,RB1,23.0,coding,Yes
82,82,CD5,0.0015537386593899008,81282.0,CD5,3.0,coding,No
83,83,PLCG2,0.0014944892236857165,81496.0,PLCG2,8.0,coding,No
86,86,RUNX3,0.0014440681126675584,46946.0,RUNX3,2.0,coding,No
87,87,RARA,0.001441512073711231,51502.0,RARA,1.0,coding,Yes
89,89,TAL1,0.0014316840812333637,17246.0,TAL1,1.0,coding,Yes
91,91,FLI1,0.0014106879800829552,61994.0,FLI1,6.0,coding,Yes
92,92,LAT,0.0014003266777620495,59090.0,LAT,1.0,coding,No
93,93,MMP2,0.0013882833394934517,53395.0,MMP2,4.0,coding,No
94,94,FOS,0.0013444490998098925,58844.0,FOS,1.0,coding,No
96,96,SPI1,0.0013051095180519642,78894.0,SPI1,3.0,coding,No
97,97,YWHAG,0.0012920777106993626,18253.0,YWHAG,1.0,coding,No
99,99,EBF1,0.001276514947408035,88825.0,EBF1,6.0,coding,Yes
100,100,ITK,0.0012751009313524493,82716.0,ITK,8.0,coding,Yes
104,104,CCNA2,0.0012529337732732789,87885.0,CCNA2,4.0,coding,No
105,105,THBS1,0.0012527872448487925,90022.0,THBS1,8.0,coding,No
106,106,SMAD4,0.0012499270573996207,82458.0,SMAD4,7.0,coding,Yes
107,107,SMAD2,0.001243574540625204,84984.0,SMAD2,7.0,coding,Yes
108,108,YY1,0.001236913443047239,86026.0,YY1,2.0,coding,No
111,111,CD2,0.0012005524904865293,82402.0,CD2,4.0,coding,No
112,112,EGFR,0.001155807547802011,80525.0,EGFR,5.0,coding,Yes
113,113,NR3C1,0.0011440668856978037,77555.0,NR3C1,3.0,coding,No
114,114,GATA1,0.0011204145849120833,32953.0,GATA1,2.0,coding,Yes
115,115,PLK1,0.0011168251170772918,83208.0,PLK1,2.0,coding,No
116,116,CBL,0.0011160990733548274,87593.0,CBL,4.0,coding,Yes
117,117,SPARC,0.0011041430562506185,44056.0,SPARC,1.0,coding,No
119,119,MBD3,0.001093425163633755,81430.0,MBD3,3.0,coding,No
120,120,EZH2,0.001085136253044699,62772.0,EZH2,3.0,coding,Yes
122,122,IRF4,0.0010672611632594753,49068.0,IRF4,3.0,coding,Yes
123,123,BTK,0.0010466897748846614,67503.0,BTK,7.0,coding,Yes
124,124,CD4,0.0010385905994957302,80722.0,CD4,4.0,coding,No
126,126,PIK3R1,0.0010233509798880558,85717.0,PIK3R1,18.0,coding,Yes
127,127,TCF4,0.0010178134266121694,87170.0,TCF4,10.0,coding,No
128,128,RUNX1T1,0.0010115308404465178,87558.0,RUNX1T1,6.0,coding,Yes
129,129,FOXO1,0.0010085413593318125,76198.0,FOXO1,2.0,coding,Yes
130,130,HCK,0.001008085186942873,15956.0,HCK,1.0,coding,No
131,131,NCOA2,0.0009670998543386602,81458.0,NCOA2,6.0,coding,Yes
132,132,CEP55,0.0009562458737509607,56003.0,CEP55,2.0,coding,No
133,133,FBN1,0.0009556742369426761,88162.0,FBN1,20.0,coding,No
134,134,NCOA1,0.0009515253633382056,88008.0,NCOA1,5.0,coding,Yes
135,135,SMAD3,0.0009476629434884639,39110.0,SMAD3,4.0,coding,Yes
137,138,COL1A2,0.0009278028544913335,87047.0,COL1A2,10.0,coding,No
138,139,CSF2RB,0.000920908670198928,90258.0,CSF2RB,5.0,coding,No
141,142,MYB,0.0009116631245258122,82225.0,MYB,12.0,coding,Yes
143,145,HIF1A,0.0008938739384506333,76516.0,HIF1A,4.0,coding,Yes
144,146,CDC25A,0.0008910906232578458,62733.0,CDC25A,1.0,coding,No
145,147,JAK3,0.0008892194852641288,76743.0,JAK3,8.0,coding,Yes
146,148,PTPN6,0.0008889915965098771,57869.0,PTPN6,2.0,coding,Yes
148,150,BRCA1,0.0008531332384547081,81262.0,BRCA1,14.0,coding,Yes
149,151,TCF12,0.0008521245238159472,85922.0,TCF12,12.0,coding,Yes
151,153,CD79B,0.0008383278786260896,65893.0,CD79B,2.0,coding,Yes
153,155,CCNB1,0.0008346013661862898,81735.0,CCNB1,6.0,coding,No
158,160,MCM3,0.0008050981028959373,88000.0,MCM3,4.0,coding,No
162,164,PAX5,0.0007666983020023934,58572.0,PAX5,6.0,coding,Yes
163,165,MAPK1,0.000761450600619816,67528.0,MAPK1,1.0,coding,Yes
164,166,YWHAZ,0.0007547570954898165,79690.0,YWHAZ,3.0,coding,No
165,167,BHLHE40,0.0007542508849153547,72212.0,BHLHE40,2.0,coding,No
167,169,TUBB,0.0007435037632470934,38828.0,TUBB,3.0,coding,No
168,170,PTK2B,0.0007424783084758851,83555.0,PTK2B,7.0,coding,No
169,171,MCM7,0.0007375569828361026,90280.0,MCM7,7.0,coding,No
170,172,ZBTB16,0.0007336792330704774,80893.0,ZBTB16,4.0,coding,Yes
171,173,QKI,0.0007240771529305426,19368.0,QKI,2.0,coding,Yes
172,174,PRKCA,0.0007238983651275376,70068.0,PRKCA,4.0,coding,No
173,175,GABPA,0.0007195412141737626,20401.0,GABPA,1.0,coding,No
175,177,CREB1,0.0007149201754673511,15157.0,CREB1,2.0,coding,Yes
176,178,BNC2,0.0007078539607800253,50661.0,BNC2,5.0,coding,No
177,179,ITGB1,0.0007034638509196433,73842.0,ITGB1,5.0,coding,No
178,180,E2F6,0.0006950711318799353,75848.0,E2F6,2.0,coding,No
181,184,CBFB,0.0006865630006809617,90371.0,CBFB,25.0,coding,Yes
184,187,PAG1,0.0006771990471073252,86258.0,PAG1,3.0,coding,No
186,189,DCN,0.0006623285895500284,75572.0,DCN,2.0,coding,No
187,190,JAK2,0.0006595099288999742,48324.0,JAK2,7.0,coding,Yes
188,191,WAS,0.0006565899262284809,87192.0,WAS,6.0,coding,Yes
190,193,MYC,0.0006531573708970283,50407.0,MYC,1.0,coding,Yes
192,195,IRF1,0.0006417699096659118,73718.0,IRF1,2.0,coding,No
193,196,POU2F2,0.0006334336748117275,66749.0,POU2F2,7.0,coding,No
194,197,TRAT1,0.0006332533310110268,79285.0,TRAT1,3.0,coding,No
195,198,POLR2D,0.0006310252556917817,8866.0,POLR2D,1.0,coding,No
196,199,CD28,0.0006296735988383444,52237.0,CD28,2.0,coding,Yes
197,200,RAN,0.0006270963697336537,15633.0,RAN,1.0,coding,No
201,205,CD3E,0.0006153324780166659,52241.0,CD3E,3.0,coding,No
202,206,ERBB4,0.0006150977740941117,88271.0,ERBB4,14.0,coding,Yes
204,208,XPO1,0.0006115346282277005,89167.0,XPO1,16.0,coding,Yes
206,210,E2F3,0.0005979120587607058,75847.0,E2F3,3.0,coding,No
207,211,ITPR1,0.0005970132826672049,81393.0,ITPR1,15.0,coding,No
208,212,PRKCQ,0.0005958974973165892,78143.0,PRKCQ,11.0,coding,No
209,213,SYNCRIP,0.0005931149292038949,85906.0,SYNCRIP,8.0,coding,No
210,214,PLCG1,0.0005924938227138951,78017.0,PLCG1,8.0,coding,Yes
212,216,IGF1R,0.0005908028374319567,64959.0,IGF1R,7.0,coding,No
213,217,FANCA,0.0005888029619270276,74006.0,FANCA,8.0,coding,Yes
214,218,KAT2B,0.0005869612320888738,89834.0,KAT2B,6.0,coding,No
215,219,MAX,0.0005827913547440739,89955.0,MAX,2.0,coding,Yes
216,220,HSP90AA1,0.0005820629468865671,76576.0,HSP90AA1,3.0,coding,Yes
218,222,IL2RB,0.0005788694574937792,80221.0,IL2RB,3.0,coding,No
219,223,CTCF,0.0005775902960374976,88211.0,CTCF,17.0,coding,Yes
220,224,GSK3B,0.0005764923832995468,52907.0,GSK3B,2.0,coding,No
224,228,CHEK1,0.0005685915051761714,41041.0,CHEK1,2.0,coding,No
225,229,STAT3,0.0005683665942628351,63498.0,STAT3,5.0,coding,Yes
226,230,SRPK1,0.0005668714521259688,63852.0,SRPK1,3.0,coding,No
228,232,AURKB,0.0005635535124020504,39377.0,AURKB,3.0,coding,No
230,234,NUFIP2,0.0005606485914841396,62083.0,NUFIP2,4.0,coding,No
231,235,ELF1,0.0005576676464253974,83838.0,ELF1,8.0,coding,No
232,236,PTPN11,0.0005569047493481832,49756.0,PTPN11,1.0,coding,Yes
233,237,RACGAP1,0.0005540942573825472,78274.0,RACGAP1,3.0,coding,No
234,238,NCOR1,0.0005521482915011851,88437.0,NCOR1,45.0,coding,Yes
236,240,RRM2,0.000549650279587676,40192.0,RRM2,1.0,coding,No
237,241,GAPDH,0.0005494089290853224,61829.0,GAPDH,1.0,coding,No
239,243,SMAD1,0.0005452641639139838,39873.0,SMAD1,1.0,coding,No
241,245,SP3,0.0005388915866444777,73631.0,SP3,8.0,coding,No
243,247,NCOA3,0.0005355327811445405,65608.0,NCOA3,9.0,coding,No
246,252,CAV1,0.0005242104569614849,57691.0,CAV1,4.0,coding,No
247,253,KIT,0.0005215228072306001,76915.0,KIT,8.0,coding,Yes
248,254,CDK6,0.0005198240464783998,37252.0,CDK6,2.0,coding,Yes
250,256,CLTC,0.0005173350516487592,82109.0,CLTC,6.0,coding,Yes
252,258,LBR,0.000515471403936481,87549.0,LBR,5.0,coding,No
253,259,FOXP1,0.0005143043842005175,88273.0,FOXP1,6.0,coding,Yes
255,261,PDGFRA,0.0005124487055367591,83505.0,PDGFRA,7.0,coding,Yes
260,266,MMP16,0.0004991585648230566,62054.0,MMP16,6.0,coding,No
261,267,FRS2,0.0004974322804956196,28054.0,FRS2,1.0,coding,No
266,272,SOS1,0.00049157958425338,90051.0,SOS1,5.0,coding,No
267,273,MAPK6,0.0004893595856848031,87855.0,MAPK6,6.0,coding,No
268,274,NCK1,0.00048745656028000467,53510.0,NCK1,2.0,coding,No
271,277,GATA2,0.00048434269299555544,24562.0,GATA2,1.0,coding,Yes
273,279,CRY2,0.0004813915111024983,87957.0,CRY2,3.0,coding,No
277,284,MYBL2,0.00047667673337540775,90287.0,MYBL2,6.0,coding,No
278,285,TCF3,0.0004762410529739707,88702.0,TCF3,4.0,coding,Yes
279,286,FRMD6,0.00047530228059827653,76212.0,FRMD6,6.0,coding,No
